t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
4.44,-53.7823165944,-9.0717186191,21.8288027735,-0.2255058355,6.25103867,1.2436034286,0.0855057003,0.0735,-0.0496068991
4.448,-51.1741752529,-9.743099428,20.8971594035,-0.3058075207,5.895817432,1.1605301976,0.0855057003,0.0735,-0.0496068991
4.456,-48.6493212414,-10.6824211696,19.4190738882,-0.4774740218,5.6060301965,1.1270608224,0.0855057003,0.0735,-0.0496068991
4.464,-47.3277019092,-8.9820691853,17.3137052585,-0.3074670243,5.4778813242,0.9918090939,0.0855057003,0.0735,-0.0496068991
4.472,-47.963918069,-11.6896370491,18.2789054696,-0.6993777643,5.4976858039,0.8352263047,0.0855057003,0.0735,-0.0496068991
4.48,-48.7831323395,-12.7005467154,19.438044433,-0.8030918863,5.5565531131,0.9304875378,0.0855057003,0.0735,-0.0496068991
4.488,-48.8485704434,-9.4348456961,18.2439799119,-0.2930486653,5.5812767634,1.1437064954,0.0855057003,0.0735,-0.0496068991
4.496,-50.0887298332,-9.332648532,17.1804378721,-0.3231035238,5.7233478042,0.9229485564,0.0855057003,0.0735,-0.0496068991
4.504,-50.4313813735,-9.5879887458,16.8721520248,-0.4098639754,5.7354354278,0.7404210904,0.0855057003,0.0735,-0.0496068991
4.512,-48.8064597684,-10.1064649978,17.858728415,-0.4899138891,5.5002791806,0.7212591407,0.0855057003,0.0735,-0.0496068991
4.52,-45.8382471239,-9.4014457755,18.9073101008,-0.3710293219,5.0943537171,0.6112848026,0.0855057003,0.0735,-0.0496068991
4.528,-47.5348681997,-8.6011654553,19.8341630425,-0.3001509482,5.2401670711,0.5187679789,0.0855057003,0.0735,-0.0496068991
4.536,-51.2168503052,-9.0819142611,20.1846162521,-0.4111370141,5.6783985462,0.7183766451,0.0855057003,0.0735,-0.0496068991
4.544,-47.5125655396,-9.0148009823,21.3897826639,-0.352062062,5.1667125858,0.6793545946,0.0855057003,0.0735,-0.0496068991
4.552,-48.0153081334,-9.6820155128,21.7003674708,-0.4495345248,5.2317241853,0.6784373666,0.0855057003,0.0735,-0.0496068991
4.56,-50.8951326169,-9.6086853893,23.2035779565,-0.3999457701,5.5193832986,0.6694663656,0.0855057003,0.0735,-0.0496068991
4.568,-50.0318671188,-9.5824154419,23.2624827547,-0.3695318946,5.3823051338,0.6193797123,0.0855057003,0.0735,-0.0496068991
