"id","type","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
1718,1,0,0,0,1.2424e-05,-4.3422e-05,-1.0587e-06,0.011241,-0.011563,0.0027299,0.0075,0.0057866,0.0018836,0.0037035,0.065081,0.056058,-0.2375
389,1,0,0,0,-1.113e-05,3.761e-05,2.5956e-13,5.7202e-20,-2.9706e-19,0,0.0075,-0.0050148,-0.001484,-0.00095516,0.076348,0.043999,-0.2375
248,1,0,0,0,4.2245e-06,6.908e-06,1.5763e-06,0.002126,0.0064832,0.0018747,0.0075,-0.0040762,-0.0022884,0.0042056,0.078929,0.05772,-0.23198
325,1,0,0,0,5.4502e-05,2.8346e-05,-2.4858e-13,3.4864e-19,9.9315e-20,0,0.0075,-0.0037796,0.007267,-0.00095463,0.091394,0.044914,-0.2375
186,1,0,0,0,-2.9636e-05,1.5575e-06,-3.2189e-06,0.0031059,-0.0080931,-0.00124,0.0075,-0.00032847,-0.0037285,0.0042976,0.12188,0.042918,-0.2375
1530,1,0,0,0,-1.1796e-05,-6.4036e-06,1.2642e-05,-0.0044732,0.022546,-0.010047,0.0075,0.0014899,-0.0018824,-0.0070214,0.12439,0.057704,-0.2375
1248,1,0,0,0,-0.0001454,0.00046588,9.0182e-14,-2.8554e-18,6.678e-18,0,0.0075,-0.062119,-0.019387,0.15909,0.14212,0.053642,-0.2375
1713,1,0,0,0,-0.00020636,6.8933e-05,7.6771e-13,-3.4e-18,-2.0234e-18,0,0.0075,-0.0091912,-0.027516,0.0086382,-0.096562,0.06586,-0.2375
1156,1,0,0,0,8.6266e-06,1.7722e-05,5.9136e-07,-0.0032795,-0.0012689,0.00095282,0.0075,-0.0023619,0.0011672,0.0021495,-0.046869,0.066893,-0.2375
1327,1,0,0,0,4.929e-06,4.6357e-05,1.155e-06,-0.0029338,0.00011412,-0.0013946,0.0075,-0.0062083,0.00076579,0.0020278,-0.031284,0.068857,-0.2375
82,1,0,0,0,8.1443e-05,1.1758e-06,-9.2234e-07,0.00018521,0.0013938,-0.00031674,0.0075,-0.00017839,0.010839,0.024084,-0.016213,0.064661,-0.2375
1237,1,0,0,0,3.4593e-05,-1.0695e-05,-1.1762e-06,0.013048,0.019023,0.0030032,0.0075,0.0015001,0.0046115,-0.001115,0.0066586,0.058773,-0.23751
751,1,0,0,0,1.8294e-05,-1.9624e-05,-1.5169e-06,0.0042445,0.00056084,0.0061468,0.0075,0.002735,0.0023814,0.010749,0.02618,0.072106,-0.2375
1659,1,0,0,0,2.1253e-05,1.1837e-05,-8.6361e-07,-0.006179,-0.01754,-0.012871,0.0075,-0.0015421,0.0028507,0.00018553,0.036609,0.058974,-0.2375
532,1,0,0,0,4.1728e-05,2.8496e-05,9.5371e-07,5.7559e-05,0.00011625,0.0012968,0.0075,-0.0037616,0.0056424,0.0017676,0.056667,0.068779,-0.2375
1466,1,0,0,0,1.7353e-05,1.2076e-05,-1.4897e-06,0.010046,-0.011348,0.0040074,0.0075,-0.0017403,0.0022453,0.00065242,0.083599,0.071826,-0.2375
191,1,0,0,0,8.0754e-06,8.7753e-06,4.1116e-06,0.0016221,0.0019357,-0.0046067,0.0075,-0.0011125,0.00083325,-0.0020371,0.092704,0.059906,-0.2375
1634,1,0,0,0,-8.7026e-06,-2.4373e-05,-4.3052e-06,0.012753,-0.0091147,0.0029819,0.0075,0.0032319,-0.00085169,0.0094188,0.1094,0.057901,-0.2375
1426,1,0,0,0,-2.385e-06,2.5143e-05,8.9796e-06,0.0072068,0.0012719,0.0033047,0.0075,0.0029134,0.0021218,0.0060155,0.10102,0.071171,-0.23212
1330,1,0,0,0,-0.00052904,-0.00056974,-1.2649e-12,-9.9809e-18,1.3565e-17,0,0.0075,0.075967,-0.07054,-0.022336,0.14265,0.069411,-0.2375
504,1,0,0,0,-6.1955e-07,-2.5595e-06,1.376e-06,0.00032819,0.026514,0.0062902,0.0075,0.00035827,-6.3364e-05,-0.0025565,-0.092738,0.085228,-0.2375
1316,1,0,0,0,-2.6071e-06,-1.4582e-05,-4.0334e-07,0.003762,0.024288,-0.014245,0.0075,0.0021089,-0.00045671,-0.0044068,-0.076582,0.074918,-0.23751
271,1,0,0,0,-2.1663e-07,-1.6179e-05,-4.614e-07,-0.0079222,-0.029934,0.010114,0.0075,0.0021198,1.7072e-05,0.0040656,-0.061689,0.073129,-0.2375
537,1,0,0,0,-1.647e-05,2.9253e-05,6.3055e-07,-0.0031971,-0.00052324,8.2171e-05,0.0075,-0.0039215,-0.0021835,0.0021098,-0.040674,0.080554,-0.2375
