t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
7.736,-9.7901320909,2.6308629085,-15.3166680695,0.4146301747,1.8766154548,-0.1559916485,0.1151364872,0.0735,-0.0449014476
7.744,-9.0462314812,2.5091999916,-15.157978686,0.3678382272,1.7644659389,-0.1288292094,0.1151364735,0.0735,-0.0449014376
7.752,-7.9367804516,1.1909811388,-15.0823317053,0.2509703572,1.7061252463,-0.1370660601,0.1151364598,0.0735,-0.0449014276
7.76,-6.6292971722,-0.3458927137,-14.4894407809,0.037001816,1.5401442595,-0.1169039716,0.1151364461,0.0735,-0.0449014177
7.768,-7.5847044777,-1.2738433796,-14.9397051192,-0.0211754023,1.6245414177,-0.096395664,0.1151364324,0.0735,-0.0449014078
7.776,-7.3779445851,-1.9069119253,-14.9979747416,-0.1033422656,1.646153821,-0.0751090746,0.1151364186,0.0735,-0.044901398
7.784,-5.9039828021,-2.4445267184,-14.4375403357,-0.1658863706,1.4652890626,-0.1002214838,0.1151364048,0.0735,-0.0449013882
7.792,-9.3060775356,1.970995329,-14.2654515079,0.2809808259,1.8307486572,-0.0478126524,0.1151363909,0.0735,-0.0449013784
7.8,-9.2337411897,3.0546183365,-13.5676194988,0.3809370666,1.7852007049,-0.0516200284,0.1151363771,0.0735,-0.0449013687
7.808,-10.146519122,5.7177660816,-14.2796738741,0.6513378019,1.928753908,0.152913452,0.1151363632,0.0735,-0.044901359
7.816,-10.0060994369,7.7377003439,-14.6814276371,0.8470297912,1.9776879802,0.2660158792,0.1151363492,0.0735,-0.0449013494
7.824,-10.0192653056,8.8461436608,-15.257891136,0.9707142162,2.0275615994,0.2646266989,0.1151363353,0.0735,-0.0449013398
7.832,-10.1073120332,9.6643387357,-14.302797178,0.9928217764,1.9679215646,0.2827107412,0.1151363213,0.0735,-0.0449013302
7.84,-10.617099339,10.933372182,-14.4858460182,1.124458333,2.0550121161,0.3042256116,0.1151363073,0.0735,-0.0449013207
