"Points:0","Points:1","Points:2"
0.077798,0.025581,-0.065347
0.077834,0.02829,-0.063783
0.077869,0.025581,-0.062219
0.018623,0.1327,-0.1076
0.01666,0.1327,-0.10402
0.014537,0.1327,-0.10751
0.077432,0.063688,-0.078109
0.012175,0.0039761,-0.066916
0.01158,0.005,-0.067158
0.0083493,0.005,-0.069298
0.025659,0.11888,-0.079853
0.027363,0.12183,-0.079892
0.029081,0.11888,-0.079931
0.025457,0.071947,-0.057967
0.068319,0.062667,-0.080821
0.043412,0.031352,-0.15892
0.041775,0.028061,-0.15796
0.07197,0.0044581,-0.08888
0.07248,0.004335,-0.084774
0.071985,0.0022325,-0.087227
0.067926,0.11406,-0.18496
0.066396,0.11058,-0.18419
-0.0091434,0.0049999,-0.13336
0.068629,0.00016359,-0.14031
0.067259,0.00010495,-0.13676
0.064182,0.017549,-0.046219
0.070233,0.0046264,-0.18581
0.069986,0.005,-0.18619
0.070275,0.0040482,-0.18296
0.070051,0.09278,-0.17497
0.070027,0.096187,-0.17468
0.059495,0.06898,-0.046112
0.06262,0.06898,-0.046183
0.061057,0.071687,-0.046148
0.020562,0.052107,-0.15713
0.02398,0.052107,-0.15915
0.018783,0.1377,-0.10053
-0.0013434,0.005,-0.075719
0.0075149,0.070891,-0.13777
0.0047686,0.070913,-0.13614
0.04968,0.005,-0.090612
0.051622,0.005,-0.094196
0.0004577,0.005,-0.09658
0.0045594,0.005,-0.096683
-0.010641,0.1327,-0.12239
-0.012605,0.13271,-0.11894
0.069704,0.047882,-0.18516
-0.0087306,0.011785,-0.098488
-0.0075116,0.011767,-0.095604
0.05274,0.13349,-0.04596
0.050166,0.13352,-0.04594
0.051519,0.1327,-0.045931
-0.0004977,8.3752e-05,-0.14087
-0.0022982,-5.1442e-06,-0.13696
-0.0044216,-1.5497e-06,-0.13967
-0.0074112,0.12582,-0.095655
-0.0058984,0.12583,-0.092926
-0.0081079,0.10138,-0.097057
-0.0065995,0.10138,-0.094326
-0.0075117,0.098662,-0.095606
-0.005728,0.11202,-0.078623
-0.0042144,0.1151,-0.07762
0.015649,0.13735,-0.15384
0.014778,0.1375,-0.15117
0.00025774,0.1327,-0.13315
0.0058588,0.060656,-0.082847
0.0030667,0.060656,-0.084267
0.026941,0.038054,-0.056984
0.029907,0.038054,-0.05502
0.078052,0.020152,-0.052829
0.025293,0.1327,-0.083113
0.029347,0.1327,-0.083128
0.067653,6.8754e-05,-0.094572
0.066049,-3.0929e-05,-0.090934
